FA0011606,3,90,90,0,90,90
FA0008275,2,84,82,2,82,86
FA0048585,1,93,93,0,93,93
FA0180066,3,92.6667,94,1.8856,90,94
FA0033342,3,90045,90045,0,90045,90045
FA0029939,4,85.5,91,5.5,80,91
FA0041012,3,90012,90012,0,90012,90012
FA0252763,1,90036,90036,0,90036,90036
FA0012525,1,90038,90038,0,90038,90038
FA0179105,1,96,96,0,96,96
FA0074300,8,90005,90005,0,90005,90005
FA0138953,3,90017,90017,0,90017,90017
FA0275294,1,85,85,0,85,85
FA0022956,3,91,94,3.559,86,94
FA0175101,5,86.4,90,5.2383,80,91
FA0008648,4,90047,90047,0,90047,90047
FA0017847,2,90003,90003,0,90003,90003
FA0245691,6,90024,90024,0,90024,90024
FA0035896,6,91.5,91,1.118,91,94
FA0042331,3,96,97,0.8165,95,97
FA0270660,2,91,90,1,90,92
FA0011753,3,92.3333,93,0.4714,92,93
FA0004852,5,90034,90034,0,90034,90034
FA0023360,10,90027,90027,0,90027,90027
FA0050513,1,86,86,0,86,86
FA0060764,7,90008,90008,0,90008,90008
FA0248684,3,93.6667,96,2.0548,91,96
FA0035176,1,91,91,0,91,91
FA0225289,3,92.3333,93,0.9428,91,93
FA0021110,7,91.2857,91,1.666,90,95
FA0062953,3,91.3333,93,1.2472,90,93
FA0160872,2,93,92,1,92,94
FA0265360,4,90,90,0,90,90
FA0179907,3,90024,90024,0,90024,90024
FA0275877,1,95,95,0,95,95
FA0009907,1,90045,90045,0,90045,90045
FA0158355,6,85.8333,84,5.7276,80,95
FA0138681,2,94.5,94,0.5,94,95
FA0139051,1,90,90,0,90,90
FA0143759,3,90012,90012,0,90012,90012
FA0241667,2,90007,90007,0,90007,90007
FA0028757,3,91.3333,94,1.8856,90,94
FA0224057,2,90026,90026,0,90026,90026
FA0059841,3,92.6667,93,0.4714,92,93
FA0177038,5,88.2,87,2.9257,85,93
FA0249210,2,90,90,0,90,90
FA0251708,3,82.3333,91,6.1283,78,91
FA0009418,3,93,94,0.8165,92,94
FA0175020,7,95.8571,96,2.3561,92,99
FA0018454,2,90044,90044,0,90044,90044
FA0037084,1,97,97,0,97,97
FA0223991,4,90027,90027,0,90027,90027
FA0159030,4,92.75,96,4.5484,85,96
FA0241981,7,85,90,6.5027,71,91
FA0269928,3,90069,90069,0,90069,90069
FA0177136,5,94.2,94,1.9391,91,97
FA0056186,9,90071,90071,0,90071,90071
FA0159512,2,90028,90028,0,90028,90028
FA0274169,1,97,97,0,97,97
FA0178649,3,86.6667,90,4.714,80,90
FA0065868,6,92.1667,90,2.1922,90,95
FA0016303,6,90.8333,91,3.6705,83,94
FA0248683,2,90047,90047,0,90047,90047
FA0050683,4,92.25,93,0.8292,91,93
FA0066967,4,78,73,8.6603,73,93
FA0277033,1,93,93,0,93,93
FA0177860,2,91.5,90,1.5,90,93
FA0046374,3,95.6667,96,0.4714,95,96
FA0034398,4,94.25,94,1.6394,93,97
FA0071511,7,90037,90037,0,90037,90037
FA0255948,6,87.5,86,2.1409,86,91
FA0016588,6,92.5,92,1.6073,90,95
FA0043747,7,86,90,4.1748,80,91
FA0060841,4,93.25,94,1.299,91,94
FA0064755,2,93.5,93,0.5,93,94
FA0171943,6,90037,90037,0,90037,90037
FA0250590,4,93,94,2.1213,91,96
FA0165176,4,86,86,3.7417,82,92
FA0222577,12,90065,90065,0,90065,90065
FA0158679,2,90066,90066,0,90066,90066
FA0249939,5,93.8,95,2.4,91,97
FA0165762,2,91,90,1,90,92
FA0246042,1,95,95,0,95,95
FA0064155,2,95,95,0,95,95
FA0249055,5,90.2,92,3.1241,84,92
FA0042474,4,91.25,93,3.6997,86,96
FA0258183,1,93,93,0,93,93
FA0006567,4,87.25,96,9.2568,78,97
FA0049631,5,89,91,4.0497,81,92
FA0057392,2,94.5,90,4.5,90,99
FA0175337,3,90.6667,92,0.9428,90,92
FA0028877,2,92,90,2,90,94
FA0223943,4,91.5,92,1.118,90,93
FA0256512,2,90028,90028,0,90028,90028
FA0021804,2,92,91,1,91,93
FA0026924,6,91.3333,92,4.9889,81,97
FA0052409,1,91,91,0,91,91
FA0251042,5,88.2,90,3.6,81,90
FA0048300,7,93,93,2.3299,90,98
FA0048270,7,83.5714,84,4.2714,80,90
FA0256998,3,90011,90011,0,90011,90011
FA0177854,2,90041,90041,0,90041,90041
FA0158712,4,91,91,0.7071,90,92
FA0045296,2,92,90,2,90,94
FA0024699,4,90011,90011,0,90011,90011
FA0055264,8,90004,90004,0,90004,90004
FA0256479,1,90028,90028,0,90028,90028
FA0018183,5,93.4,94,2.9394,90,97
FA0247989,3,90025,90025,0,90025,90025
FA0264498,2,91.5,90,1.5,90,93
FA0070315,2,90014,90014,0,90014,90014
FA0037279,3,93.3333,94,0.9428,92,94
FA0005784,1,98,98,0,98,98
FA0009667,9,90,90,0,90,90
FA0066712,2,91,90,1,90,92
FA0170075,3,87.6667,90,3.2998,83,90
FA0141169,2,93.5,93,0.5,93,94
FA0018309,3,92.6667,93,0.4714,92,93
FA0014430,6,90.5,91,4.6815,81,95
FA0274588,1,92,92,0,92,92
FA0040748,4,95.25,95,1.0897,94,97
FA0242882,1,90025,90025,0,90025,90025
FA0027276,2,90064,90064,0,90064,90064
FA0043543,2,90064,90064,0,90064,90064
FA0167235,6,92.6667,91,2.4944,90,97
FA0137242,1,91,91,0,91,91
FA0029363,2,90007,90007,0,90007,90007
FA0163636,6,92.8333,94,1.675,90,94
FA0034437,3,90037,90037,0,90037,90037
