FACILITY_ZIP,Count,Average,Median,Stdev,Min,Max
91203,110,91.9727,92,2.6747,81,98
90077,31,92.3548,92,2.9463,84,97
90402,35,92.8286,94,4.0531,80,98
90059,58,92.4138,93,3.8998,76,98
90031,133,90.2857,92,5.5746,71,97
91202,96,91.9896,92,1.9175,85,97
90808,1,97,97,0,97,97
91108,50,91.16,93,5.1044,73,98
91304,13,88.0769,91,8.9224,70,99
90062,53,90.283,92,5.0259,80,98
91206,42,92.1667,93,3.7665,81,97
90049,110,91.3636,92,4.6685,73,99
91690,2,88.5,82,6.5,82,95
90054,12,93.6667,94,2.0548,90,96
90602,83,91.6145,92,3.222,81,97
90601,169,91.1893,91,3.6939,80,99
91504,55,93.4909,94,2.984,84,98
91608,38,93.6579,93,3.4814,83,99
91107,46,91.7391,91,2.746,83,97
91307,58,93.3793,94,2.9643,81,98
91501,8,95,95,2.2361,90,98
91371,3,90,90,0,90,90
91104,26,91.2692,91,3.2411,85,97
91330,15,96.0667,96,1.6111,92,99
90305,26,90.5385,91,3.8253,81,95
90805,5,88,84,4.9396,84,95
93552,43,93.4419,94,3.4527,83,98
91381,54,92.5185,92,5.0286,72,99
93535,52,94,95,3.8129,84,99
90801,11,91,92,3.6927,80,94
91326,44,91.2955,92,6.0135,70,99
90274,32,91.75,91,3.1225,80,96
90265,60,91.6333,93,4.3968,79,98
93591,20,94.95,94,2.4592,91,99
93543,25,95.36,96,2.0762,90,98
90094,34,91.7647,92,2.9412,82,97
91023,7,91.5714,92,0.4949,91,92
91741,28,92.6071,92,2.9196,86,98
92602,2,82,80,2,80,84
90747,13,89.2308,90,3.7653,81,95
91762,1,98,98,0,98,98
91735,2,95,94,1,94,96
91209,9,92,92,0.6667,91,93
91772,3,94.3333,96,2.357,91,96
90086,2,93,90,3,90,96
90123,3,97,97,0,97,97
90368,1,93,93,0,93,93
92688,2,92,90,2,90,94
91329,2,94,92,2,92,96
90651,7,90.2857,90,0.4518,90,91
91521,2,98,98,0,98,98
91390,2,95.5,95,0.5,95,96
90806,1,90,90,0,90,90
91640,1,93,93,0,93,93
91522,3,97,98,0.8165,96,98
90702,1,96,96,0,96,96
90639,1,90,90,0,90,90
90631,9,94,95,1.8856,90,96
90095,2,95.5,95,0.5,95,96
90509,2,86.5,86,0.5,86,87
92614,3,93.6667,94,0.4714,93,94
91176,2,91.5,90,1.5,90,93
90637,2,92.5,92,0.5,92,93
90225,1,90,90,0,90,90
90708,3,92.6667,93,0.4714,92,93
90620,3,97.3333,98,0.4714,97,98
90636,1,96,96,0,96,96
90079,3,92.3333,93,0.9428,91,93
91383,4,92.5,92,0.866,92,94
91341,1,93,93,0,93,93
91301,2,96.5,96,0.5,96,97
90030,2,95,93,2,93,97
90802,1,88,88,0,88,88
91367,2,96,96,0,96,96
91600,2,93,93,0,93,93
90506,4,91,91,0.7071,90,92
91122,3,93.3333,94,0.9428,92,94
91450,2,93.5,91,2.5,91,96
91416,1,95,95,0,95,95
93105,1,95,95,0,95,95
90286,1,95,95,0,95,95
90710,1,91,91,0,91,91
2337,1,90,90,0,90,90
93036,1,91,91,0,91,91
91867,1,91,91,0,91,91
90424,1,94,94,0,94,94
