,GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,Prop_groc,Prop_60mi,No_farm,Prop_obse,Prop_DM,Rte_CVD,Prop_ownr,Prop_rentr,No_hless,Rte_crim,Rte_alco,Propt_envi,Prop_depr,Propt_HPI,Prop_fru,Prop_bev,Prop_hyp,Prop_marj
65,RANCHO PALOS VERDES,42909,0.1685,0.5855,0.24600000000000002,0.0236,0.0869,0.5602,0.327,0.0012,0.001,0.0365,0.0765,0.2726,0.0768,0.024,0.1011,0.2254,0.6494,118780,0.3866,0.134,0,0.2028,0.0900,138.322,0.8029999999999999,0.19699999999999998,1,63,7,97,0.0831,94.4,0.1,0.3,0.3,0.1
66,REDONDO BEACH,69316,0.2056,0.6614,0.133,0.0272,0.1567,0.6806,0.1302,0.0025,0.0028,0.0462,0.0957,0.1877,0.0393,0.0415,0.111,0.2785,0.5689,105145,0.7645,0.11599999999999999,2,0.1971,0.0599,177.9619,0.499,0.501,216,231,26,84,0.1129,93.0,0.2,0.2,0.2,0.1
67,ROSEMEAD,55056,0.2036,0.6387,0.1577,0.0034,0.3416,0.0426,0.6112,0.001,0.0002,0.1604,0.4709,0.5627,0.3042,0.3381,0.2738,0.22,0.1681,44906,0.7333,0.09699999999999999,1,0.1508,0.1037,156.215,0.465,0.535,24,303,14,29,0.0519,17.4,0.1,0.2,0.2,0.0
68,ROWLAND HEIGHTS,51206,0.1796,0.6448,0.1756,0.0137,0.2754,0.0974,0.611,0.0008,0.0017,0.1048,0.3109,0.563,0.2732,0.1556,0.2074,0.2744,0.3626,59534,0.4661,0.163,0,0.1848,0.1049,162.91899999999998,0.67,0.33,66,168,12,85,0.0422,44.7,0.1,0.3,0.2,0.0
69,SAN DIMAS,34015,0.1753,0.6349,0.1898,0.0303,0.3262,0.5302,0.1098,0.0025,0.001,0.065,0.1275,0.1842,0.0483,0.0793,0.1903,0.373,0.3573,78034,0.5041,0.153,1,0.3382,0.0747,237.047,0.743,0.257,34,241,17,14,0.0946,69.9,0.1,0.4,0.3,0.1
70,SAN FERNANDO,24465,0.2703,0.6303,0.0993,0.0065,0.9286,0.0529,0.0085,0.0028,0.0007,0.2043,0.5118,0.3738,0.1772,0.4153,0.2641,0.2007,0.1198,55170,0.7416,0.098,0,0.2813,0.1114,189.297,0.537,0.46299999999999997,24,540,16,24,0.0808,40.5,0.1,0.5,0.2,0.1
71,SAN GABRIEL,40309,0.1883,0.6467,0.1649,0.0092,0.2587,0.1082,0.622,0.0014,0.0006,0.11900000000000001,0.3259,0.5478,0.2580,0.2191,0.2533,0.222,0.3057,51579,0.7339,0.09300000000000001,0,0.0842,0.1167,177.612,0.48,0.52,9,243,24,31,0.0562,44.0,0.1,0.2,0.2,0.0
72,SANTA CLARITA,195485,0.2287,0.6579,0.1134,0.0339,0.3167,0.5568,0.0889,0.0024,0.0013,0.0954,0.2254,0.2083,0.0522,0.1103,0.1951,0.3675,0.3271,83554,0.358,0.17600000000000002,2,0.2528,0.0880,194.445,0.675,0.325,316,169,15,22,0.1126,72.7,0.1,0.3,0.2,0.1
73,SANTA MONICA,93409,0.1429,0.6918,0.1653,0.0374,0.1333,0.7266,0.0996,0.0019,0.0013,0.1027,0.2725,0.2329,0.0600,0.0473,0.0949,0.205,0.6527,76580,0.8779,0.062,4,0.1300,0.0588,169.6739,0.27,0.73,712,509,35,72,0.1488,83.2,0.4,0.2,0.2,0.2
74,SOUTH GATE,99741,0.2797,0.6295,0.0908,0.0068,0.9499,0.0344,0.0069,0.0012,0.0007,0.1953,0.513,0.4315,0.2539,0.4763,0.2502,0.1977,0.0759,43552,0.7935,0.129,1,0.2791,0.1070,177.968,0.45299999999999996,0.547,122,662,11,56,0.06,16.0,0.1,0.5,0.2,0.1
75,SOUTH PASADENA,25937,0.1988,0.6509,0.1503,0.0279,0.1932,0.4332,0.3443,0.0011,0.0002,0.0646,0.1645,0.2663,0.0667,0.0455,0.1099,0.2542,0.5904,78957,0.6829999999999999,0.1,1,0.1306,0.0850,163.161,0.435,0.565,9,104,13,38,0.0857,87.4,0.2,0.2,0.3,0.1
76,SOUTH WHITTIER,58315,0.2486,0.6438,0.1076,0.0115,0.7766,0.1688,0.0392,0.0025,0.0014,0.1239,0.3821,0.268,0.0957,0.2502,0.2909,0.3095,0.1494,62592,0.6969,0.087,0,0.3403,0.1240,191.873,0.64,0.36,230,226,9,62,0.0729,38.4,0.1,0.4,0.2,0.1
77,TEMPLE CITY,36580,0.179,0.6407,0.1803,0.0072,0.1986,0.2104,0.5822,0.001,0.0006,0.0829,0.2215,0.4646,0.1721,0.1377,0.2098,0.2799,0.3726,64372,0.5429999999999999,0.122,1,0.0996,0.1271,182.899,0.6559999999999999,0.344,19,134,11,18,0.0518,54.5,0.1,0.2,0.2,0.0
78,TORRANCE,146686,0.1949,0.6394,0.1658,0.027000000000000003,0.1698,0.4157,0.3821,0.0021,0.0033,0.0622,0.1291,0.2878,0.0988,0.0655,0.1737,0.3019,0.4589,79549,0.6409,0.098,2,0.1695,0.0792,184.783,0.551,0.449,107,176,20,90,0.0625,76.9,0.1,0.3,0.3,0.1
79,VALINDA,24747,0.2535,0.636,0.1106,0.0181,0.7942,0.0646,0.1203,0.0014,0.0015,0.0976,0.2902,0.3713,0.1078,0.3384,0.3008,0.2404,0.1204,65849,0.7340000000000001,0.141,0,0.3750,0.1006,185.6737,0.7829999999999999,0.217,4,137,5,10,0.0666,47.5,0.1,0.4,0.2,0.1
80,WALNUT,30068,0.1546,0.6639,0.1815,0.026000000000000002,0.1921,0.1207,0.6593,0.0009,0.0009,0.0492,0.1496,0.4935,0.1589,0.07,0.1343,0.2717,0.5241,100184,0.3277,0.221,1,0.1930,0.0812,144.615,0.8540000000000001,0.146,3,83,5,23,0.0551,85.3,0.1,0.2,0.2,0.0
81,WEST COVINA,107688,0.2149,0.6373,0.1478,0.0408,0.5311,0.1464,0.278,0.0022,0.0014,0.0913,0.264,0.3437,0.1061,0.16899999999999998,0.2452,0.3207,0.2651,69189,0.4549,0.092,1,0.2751,0.1048,193.043,0.7290000000000001,0.271,48,246,11,15,0.0558,57.3,0.1,0.4,0.3,0.1
82,WEST HOLLYWOOD,35797,0.0639,0.7801,0.156,0.031,0.1081,0.7984,0.0603,0.0014,0.0008,0.1403,0.2798,0.2587,0.1023,0.0456,0.0884,0.2404,0.6257,56317,0.985,0.062,1,0.2207,0.0804,176.887,0.201,0.799,81,768,61,29,0.1503,70.6,0.4,0.2,0.2,0.2
83,WEST WHITTIER-LOS NIETOS,25441,0.2426,0.6253,0.1321,0.008,0.8775,0.0954,0.0147,0.0032,0.0013,0.0912,0.2858,0.2691,0.0987,0.2858,0.317,0.2711,0.1262,65363,0.4991,0.107,0,0.3584,0.1234,217.175,0.721,0.27899999999999997,36,307,9,26,0.0791,41.2,0.1,0.4,0.2,0.1
